Lower,Upper,ExpirationPut,ExpirationCall,Capital,MaxLossPLUnRealized,MaxLossPLRealized
0.0,0.2,11,230L,9092.0,-8282.0,-3553.0
0.0,0.2,11,32L,10119.0,-10191.0,-4324.0
0.0,0.2,11,372L,10193.0,-8546.0,-2702.0
0.0,0.2,11,3L,2996.0,-10805.0,-6416.0
0.0,0.2,11,53L,11736.0,-10750.0,-5741.0
0.0,0.2,11,6L,3016.0,-10808.0,-6416.0
0.0,0.2,11,87L,12876.0,-10782.0,-5983.0
0.0,0.2,142,11L,6832.0,-7937.0,-5815.0
0.0,0.2,142,142L,6454.0,-11182.0,-7142.0
0.0,0.2,142,19L,10581.0,-8282.0,-5490.0
0.0,0.2,142,230L,7672.0,-10782.0,-6053.0
0.0,0.2,142,32L,11540.0,-7692.0,-4191.0
0.0,0.2,142,372L,5455.0,-9073.0,-2193.0
0.0,0.2,142,3L,6022.0,-7937.0,-6197.0
0.0,0.2,142,53L,8750.0,-9030.0,-7037.0
0.0,0.2,142,6L,6150.0,-7937.0,-5971.0
0.0,0.2,142,87L,11046.0,-10009.0,-5908.0
0.0,0.2,19,11L,4620.0,-10810.0,-6154.0
0.0,0.2,19,142L,12980.0,-10604.0,-4742.0
0.0,0.2,19,19L,9556.0,-10796.0,-5982.0
0.0,0.2,19,230L,11491.0,-7462.0,-3001.0
0.0,0.2,19,32L,7630.0,-10791.0,-5309.0
0.0,0.2,19,372L,12869.0,-7782.0,0.0
0.0,0.2,19,3L,7850.0,-10805.0,-6416.0
0.0,0.2,19,53L,12128.0,-10452.0,-6541.0
0.0,0.2,19,6L,7163.0,-10808.0,-6416.0
0.0,0.2,19,87L,14324.0,-10415.0,-6308.0
0.0,0.2,230,11L,8368.0,-8309.0,-7582.0
0.0,0.2,230,142L,9297.0,-8682.0,-4642.0
0.0,0.2,230,19L,9149.0,-8310.0,-7435.0
0.0,0.2,230,230L,5404.0,-9625.0,-5526.0
0.0,0.2,230,32L,9085.0,-8309.0,-7191.0
0.0,0.2,230,372L,6769.0,-8346.0,-2502.0
0.0,0.2,230,3L,6483.0,-8309.0,-8022.0
0.0,0.2,230,53L,9181.0,-8312.0,-7037.0
0.0,0.2,230,6L,6540.0,-8308.0,-7871.0
0.0,0.2,230,87L,13141.0,-8682.0,-3883.0
0.0,0.2,32,11L,9433.0,-10410.0,-5754.0
0.0,0.2,32,142L,8677.0,-10859.0,-7052.0
0.0,0.2,32,19L,11417.0,-10596.0,-5782.0
0.0,0.2,32,230L,15837.0,-10782.0,-6053.0
0.0,0.2,32,32L,10211.0,-10222.0,-5214.0
0.0,0.2,32,372L,8726.0,-10006.0,0.0
0.0,0.2,32,3L,8220.0,-9775.0,-6416.0
0.0,0.2,32,53L,12760.0,-10350.0,-7437.0
0.0,0.2,32,6L,8048.0,-9775.0,-6416.0
0.0,0.2,32,87L,14258.0,-10445.0,-6308.0
0.0,0.2,372,11L,8158.0,-8482.0,-6633.0
0.0,0.2,372,142L,8676.0,-8482.0,-4442.0
0.0,0.2,372,19L,9118.0,-8482.0,-5690.0
0.0,0.2,372,230L,9116.0,-8482.0,-3753.0
0.0,0.2,372,32L,9311.0,-8482.0,-5266.0
0.0,0.2,372,372L,9426.0,-8546.0,-2702.0
0.0,0.2,372,3L,8009.0,-8544.0,-7324.0
0.0,0.2,372,53L,9764.0,-8482.0,-4996.0
0.0,0.2,372,6L,8036.0,-8508.0,-6886.0
0.0,0.2,372,87L,11052.0,-8482.0,-3683.0
0.0,0.2,3,11L,256.0,-1007.0,-17.0
0.0,0.2,3,142L,12525.0,-11182.0,-7142.0
0.0,0.2,3,19L,8626.0,-10787.0,-5982.0
0.0,0.2,3,230L,12219.0,-9625.0,-5526.0
0.0,0.2,3,32L,13111.0,-10391.0,-4524.0
0.0,0.2,3,372L,10003.0,-8546.0,-2702.0
0.0,0.2,3,3L,775.0,-875.0,0.0
0.0,0.2,3,53L,12226.0,-10413.0,-6241.0
0.0,0.2,3,6L,440.0,-1028.0,-146.0
0.0,0.2,3,87L,11975.0,-10882.0,-6083.0
0.0,0.2,53,11L,14623.0,-9638.0,-4626.0
0.0,0.2,53,142L,9516.0,-10882.0,-6842.0
0.0,0.2,53,19L,12714.0,-10411.0,-4765.0
0.0,0.2,53,230L,7625.0,-9168.0,-5744.0
0.0,0.2,53,32L,11209.0,-9638.0,-4170.0
0.0,0.2,53,372L,3869.0,-10569.0,-4122.0
0.0,0.2,53,3L,14027.0,-9638.0,-4928.0
0.0,0.2,53,53L,13857.0,-10014.0,-6241.0
0.0,0.2,53,6L,9233.0,-10208.0,-5816.0
0.0,0.2,53,87L,12136.0,-10109.0,-6008.0
0.0,0.2,6,11L,5282.0,-10810.0,-6154.0
0.0,0.2,6,142L,13854.0,-10340.0,-5984.0
0.0,0.2,6,19L,7070.0,-10796.0,-5982.0
0.0,0.2,6,230L,8881.0,-8682.0,-3953.0
0.0,0.2,6,32L,13303.0,-10122.0,-7280.0
0.0,0.2,6,372L,10031.0,-8546.0,-2702.0
0.0,0.2,6,3L,867.0,-875.0,0.0
0.0,0.2,6,53L,11632.0,-10213.0,-6141.0
0.0,0.2,6,6L,449.0,-1078.0,-196.0
0.0,0.2,6,87L,11996.0,-10794.0,-5983.0
0.0,0.2,87,11L,11053.0,-9829.0,-4026.0
0.0,0.2,87,142L,9719.0,-9829.0,-6384.0
0.0,0.2,87,19L,9157.0,-9829.0,-4271.0
0.0,0.2,87,230L,5651.0,-9829.0,-5644.0
0.0,0.2,87,32L,8376.0,-9829.0,-7409.0
0.0,0.2,87,372L,5483.0,-9829.0,-1982.0
0.0,0.2,87,3L,10100.0,-9829.0,-4328.0
0.0,0.2,87,53L,10079.0,-9829.0,-7437.0
0.0,0.2,87,6L,9629.0,-9829.0,-4529.0
0.0,0.2,87,87L,10961.0,-10009.0,-5908.0
0.0,0.3,11,11L,5213.0,-10801.0,-5537.0
0.0,0.3,11,142L,15210.0,-10572.0,-5042.0
0.0,0.3,11,19L,8055.0,-10794.0,-5713.0
0.0,0.3,11,230L,9454.0,-8282.0,-3500.0
0.0,0.3,11,32L,10261.0,-10197.0,-4301.0
0.0,0.3,11,372L,10225.0,-8577.0,-2652.0
0.0,0.3,11,3L,2784.0,-10805.0,-6377.0
0.0,0.3,11,53L,11779.0,-10765.0,-5586.0
0.0,0.3,11,6L,5255.0,-10802.0,-6755.0
0.0,0.3,11,87L,12628.0,-10782.0,-5983.0
0.0,0.3,142,11L,7163.0,-7937.0,-5671.0
0.0,0.3,142,142L,6458.0,-11182.0,-7142.0
